X	Y	Z	number of the return	number of returns of given pulse	intensity	classification
680998.560	5239992.010	970.850	1	1	132	2
680998.720	5239991.810	970.780	1	1	130	2
680998.880	5239991.620	970.690	1	1	124	2
680999.080	5239991.370	970.730	1	1	125	2
680999.250	5239991.150	970.700	1	1	123	2
680999.410	5239990.950	970.660	1	1	98	2
680999.580	5239990.720	970.640	1	1	103	2
680999.760	5239990.510	970.600	1	1	112	2
680999.940	5239990.280	970.560	1	1	103	2
680991.900	5239999.840	972.470	1	1	62	2
680992.100	5239999.590	972.480	1	1	92	2
680992.270	5239999.370	972.480	1	1	93	2
680992.460	5239999.120	972.490	1	1	53	3
680992.600	5239998.960	972.320	1	1	45	3
680992.680	5239998.880	971.980	1	1	61	2
680992.830	5239998.710	971.870	1	1	103	2
680992.990	5239998.510	971.770	1	1	108	2
680993.200	5239998.240	971.830	1	1	88	2
680993.370	5239998.020	971.810	1	1	81	2
680993.550	5239997.800	971.760	1	1	106	2
680993.720	5239997.590	971.720	1	1	118	2
680993.880	5239997.380	971.660	1	1	101	2
680994.050	5239997.170	971.630	1	1	116	2
680994.240	5239996.930	971.610	1	1	97	2
680994.410	5239996.720	971.560	1	1	101	2
680994.600	5239996.480	971.570	1	1	103	2
680994.790	5239996.240	971.590	1	1	79	2
680994.970	5239996.010	971.580	1	1	94	2
680995.130	5239995.800	971.550	1	1	70	2
680995.450	5239995.350	972.060	1	2	28	3
680995.320	5239995.560	971.570	2	2	30	2
680995.500	5239995.330	971.550	1	1	77	3
680995.730	5239995.030	971.680	1	1	132	3
680995.850	5239994.890	971.480	1	1	94	2
680995.990	5239994.720	971.310	1	1	118	2
680996.150	5239994.540	971.220	1	1	124	2
680996.320	5239994.320	971.180	1	1	107	2
680996.510	5239994.070	971.270	1	1	138	3
680996.670	5239993.870	971.160	1	1	136	2
680996.840	5239993.660	971.080	1	1	97	2
680997.010	5239993.450	971.040	1	1	114	2
680997.180	5239993.240	970.960	1	1	83	2
680997.340	5239993.040	970.930	1	1	101	2
680997.520	5239992.820	970.900	1	1	96	2
680997.700	5239992.590	970.910	1	1	115	2
680997.880	5239992.360	970.890	1	1	125	2
680998.060	5239992.140	970.850	1	1	123	2
680998.220	5239991.940	970.780	1	1	129	2
680998.400	5239991.700	970.760	1	1	125	2
680998.550	5239991.510	970.700	1	1	112	2
680998.730	5239991.290	970.690	1	1	102	2
680998.930	5239991.030	970.770	1	1	119	2
680999.120	5239990.790	970.770	1	1	91	2
680999.270	5239990.620	970.630	1	1	86	2
680999.430	5239990.420	970.560	1	1	97	2
680999.610	5239990.180	970.540	1	1	104	2
680999.780	5239989.970	970.490	1	1	113	2
680999.930	5239989.780	970.460	1	1	118	2
680991.510	5239999.970	972.600	1	1	45	3
680991.690	5239999.730	972.620	1	1	52	3
680991.860	5239999.530	972.540	1	1	58	2
680992.030	5239999.310	972.520	1	1	90	3
680992.220	5239999.060	972.560	1	1	47	3
680992.360	5239998.910	972.380	1	1	45	3
680992.450	5239998.820	972.010	1	1	51	2
680992.600	5239998.640	971.900	1	1	96	2
680992.750	5239998.460	971.780	1	1	104	2
680992.940	5239998.210	971.800	1	1	74	2
680993.140	5239997.950	971.840	1	1	103	2
680993.290	5239997.770	971.780	1	1	90	2
680993.470	5239997.540	971.770	1	1	89	2
680993.650	5239997.320	971.710	1	1	108	2
680993.830	5239997.080	971.680	1	1	108	2
680993.990	5239996.880	971.650	1	1	91	2
680994.180	5239996.640	971.610	1	1	104	2
680994.350	5239996.430	971.580	1	1	96	2
680994.540	5239996.190	971.610	1	1	100	2
680994.700	5239995.990	971.580	1	1	85	2
680994.910	5239995.710	971.650	1	1	92	2
680995.170	5239995.370	971.890	1	1	45	3
680995.290	5239995.230	971.680	1	1	78	3
680995.500	5239994.950	971.760	1	1	98	3
680995.600	5239994.860	971.460	1	1	96	2
680995.780	5239994.630	971.460	1	1	95	2
680995.910	5239994.470	971.320	1	1	123	2
680996.080	5239994.260	971.230	1	1	103	2
680996.260	5239994.040	971.190	1	1	137	2
680996.420	5239993.830	971.140	1	1	112	2
680996.600	5239993.610	971.090	1	1	107	2
680996.770	5239993.390	971.070	1	1	121	2
680996.920	5239993.210	970.990	1	1	97	2
680997.080	5239993.010	970.910	1	1	126	2
680997.270	5239992.770	970.910	1	1	91	2
680997.460	5239992.530	970.940	1	1	124	2
680997.630	5239992.320	970.870	1	1	107	2
680997.810	5239992.090	970.870	1	1	89	2
680997.970	5239991.880	970.790	1	1	97	2
680998.130	5239991.690	970.740	1	1	129	2
680998.310	5239991.470	970.720	1	1	103	2
680998.480	5239991.240	970.700	1	1	102	2
680998.690	5239990.970	970.750	1	1	132	2
680998.880	5239990.720	970.830	1	1	144	2
680999.030	5239990.550	970.650	1	1	105	2
680999.180	5239990.370	970.560	1	1	105	2
680999.350	5239990.160	970.520	1	1	92	2
680999.510	5239989.950	970.490	1	1	133	2
680999.710	5239989.700	970.510	1	1	93	2
680999.880	5239989.490	970.420	1	1	98	2
680991.180	5239999.790	972.640	1	1	72	3
680991.340	5239999.590	972.550	1	1	51	2
680991.500	5239999.380	972.540	1	1	45	3
680991.650	5239999.200	972.420	1	1	62	3
680991.760	5239999.080	972.120	1	1	47	2
680991.960	5239998.830	972.140	1	1	40	2
680992.160	5239998.570	972.230	1	1	50	3
680992.250	5239998.480	971.850	1	1	113	2
680992.410	5239998.280	971.790	1	1	102	2
680992.570	5239998.080	971.730	1	1	110	2
680992.760	5239997.840	971.770	1	1	91	2
680992.970	5239997.580	971.810	1	1	96	2
680993.150	5239997.340	971.790	1	1	101	2
680993.300	5239997.160	971.680	1	1	92	2
680993.490	5239996.920	971.690	1	1	71	2
680993.680	5239996.670	971.730	1	1	92	2
680993.910	5239996.370	971.900	1	1	55	2
680994.040	5239996.220	971.730	1	1	88	2
680994.200	5239996.010	971.660	1	1	108	2
680994.450	5239995.690	971.830	1	1	59	3
680994.620	5239995.460	971.820	1	1	59	3
680994.770	5239995.290	971.690	1	1	143	2
680994.950	5239995.050	971.700	1	1	92	3
680995.160	5239994.780	971.800	1	1	100	3
680995.300	5239994.620	971.650	1	1	155	3
680995.420	5239994.490	971.400	1	1	98	2
680995.580	5239994.290	971.300	1	1	138	2
680995.740	5239994.090	971.240	1	1	118	2
680995.900	5239993.890	971.130	1	1	112	2
680996.070	5239993.680	971.100	1	1	103	2
680996.250	5239993.450	971.110	1	1	116	2
680996.410	5239993.250	971.050	1	1	120	2
680996.570	5239993.050	970.950	1	1	95	2
680996.770	5239992.800	970.960	1	1	89	2
680996.940	5239992.580	970.970	1	1	102	2
680997.130	5239992.350	970.930	1	1	94	2
680997.290	5239992.150	970.880	1	1	107	2
680997.460	5239991.930	970.860	1	1	53	2
680997.630	5239991.720	970.830	1	1	93	2
680997.790	5239991.510	970.750	1	1	113	2
680998.070	5239991.140	971.080	1	1	90	3
680998.200	5239990.990	970.880	1	1	82	3
680998.340	5239990.820	970.720	1	1	97	2
680998.530	5239990.580	970.770	1	1	108	2
680998.680	5239990.390	970.680	1	1	110	2
680998.830	5239990.210	970.570	1	1	93	2
680999.010	5239989.990	970.530	1	1	113	2
680999.190	5239989.760	970.480	1	1	114	2
680999.350	5239989.550	970.460	1	1	103	2
680999.540	5239989.310	970.460	1	1	106	2
680999.700	5239989.120	970.390	1	1	118	2
